file_names,link,noput,absris,tahun
000062.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/71909,PUT-000062.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000063.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/48965,PUT-000063.16/2019/PP/M.VIIIB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000063.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68783,PUT-000063.16/2020/PP/M.XIllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000063.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/75435,PUT-000063.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000064.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/48852,PUT-000064.16/2019/PP/M.VllIB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000064.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68784,PUT-000064.16/2020/PP/M.XIllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000064.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/72228,PUT-000064.16/2021/PP/M.XIIIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000065.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/48966,PUT-000065.16/2019/PP/M.VlllB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000065.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68785,PUT-000065.16/2020/PP/M.XIllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000065.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/75436,PUT-000065.16/2021/PP/M.XIllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000066.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68748,PUT-000066.16/2020/PP/M.XllIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000066.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/72229,PUT-000066.16/2021/PP/M.XIllB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000067.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/72036,PUT-000067.16/2021/PP/M.XlIlB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000069.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/78988,PUT-000069.16/2020/PP/M.XA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000070.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/78989,PUT-000070.16/2020/PP/M.XA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000071.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79508,PUT-000071.99/2022/PP/M.VIB Tahun 2022,Gugatan Pajak,2022.0
000072.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79509,PUT-000072.99/2022/PP/M.VIB Tahun 2022,Gugatan Pajak,2022.0
000073.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79510,PUT-000073.99/2022/PP/M.VIB Tahun 2022,Gugatan Pajak,2022.0
000074.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76393,PUT-000074.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000074.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79511,PUT-000074.99/2022/PP/M.IIB Tahun 2022,Gugatan Pajak,2022.0
000075.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/48967,PUT-000075.16/2019/PP/M.XIIIB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000075.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76394,PUT-000075.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000075.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79513,PUT-000075.16/2021/PP/M.VIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000076.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/49088,PUT-000076.16/2019/PP/M.XIIIB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000076.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76442,PUT-000076.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
